"","homeShape","channel","visit_time","money","sex","age","meal_time","other"
"1",4,"편의점",0,"5000","M",25,TRUE,TRUE
"2",4,"대형마트",1,"500,000","M",25,TRUE,TRUE
"3",4,"온라인",0,"60000","M",25,TRUE,TRUE
"4",2,"편의점",1,"5000","M",25,FALSE,TRUE
"5",2,"대형마트",1,"80000","M",69,FALSE,FALSE
"6",1,"편의점",0,"10000","M",27,FALSE,TRUE
"7",1,"대형마트",0,"50000","M",27,TRUE,FALSE
"8",1,"온라인",0,"50000","M",27,TRUE,FALSE
"9",4,"온라인",0,"50000","F",50,TRUE,TRUE
"10",4,"슈퍼마켓",1,"30000","F",50,TRUE,TRUE
"11",4,"편의점",0,"15000","F",19,FALSE,TRUE
"12",4,"편의점",1,"7000","M",25,TRUE,TRUE
"13",4,"대형마트",1,"80000","M",25,FALSE,FALSE
"14",4,"편의점",1,"5000","M",24,TRUE,TRUE
"15",4,"대형마트",1,"50000","M",24,TRUE,FALSE
"16",5,"대형마트",1,"70000","F",25,FALSE,FALSE
"17",3,"대형마트",1,"50000","F",49,TRUE,TRUE
"18",4,"대형마트",0,"60000","F",22,FALSE,FALSE
"19",4,"대형마트",1,"100000","F",21,FALSE,FALSE
"20",4,"대형마트",1,"70000","F",23,FALSE,FALSE
"21",4,"슈퍼마켓",0,"20000","F",23,TRUE,TRUE
"22",1,"온라인",0,"50000","M",25,TRUE,TRUE
"23",6,"편의점",0,"10000","M",50,TRUE,FALSE
"24",5,"편의점",1,"6000","F",24,TRUE,TRUE
"25",5,"온라인",0,"50000","F",24,TRUE,TRUE
"26",4,"편의점",0,"15000","M",25,TRUE,TRUE
"27",4,"대형마트",1,"50000","M",25,TRUE,TRUE
"28",5,"편의점",1,"5000","F",23,TRUE,TRUE
"29",5,"대형마트",0,"100000","F",23,FALSE,FALSE
"30",1,"편의점",0,"10000","M",26,TRUE,TRUE
"31",3,"대형마트",0,"100000","M",30,TRUE,TRUE
"32",3,"온라인",0,"30000","M",30,TRUE,TRUE
"33",3,"편의점",0,"6000","M",25,TRUE,TRUE
"34",4,"대형마트",1,"50000","F",50,FALSE,FALSE
"35",1,"편의점",1,"5000","F",22,TRUE,TRUE
"36",1,"대형마트",1,"50000","F",22,TRUE,TRUE
"37",1,"온라인",0,"50000","F",22,TRUE,TRUE
"38",3,"대형마트",0,"30000","F",25,FALSE,FALSE
"39",4,"편의점",1,"3000","M",20,TRUE,TRUE
"40",4,"대형마트",1,"100000","M",20,FALSE,FALSE
"41",4,"슈퍼마켓",1,"70000","M",20,TRUE,TRUE
"42",2,"온라인",1,"0","M",20,FALSE,TRUE
"43",1,"편의점",0,"0","M",28,FALSE,TRUE
"44",1,"온라인",0,"0","M",28,TRUE,FALSE
"45",1,"슈퍼마켓",1,"50000","M",26,FALSE,FALSE
"46",1,"편의점",1,"20000","F",26,TRUE,TRUE
"47",1,"온라인",0,"50000","F",26,TRUE,TRUE
"48",2,"온라인",0,"50000","M",32,TRUE,TRUE
"49",4,"편의점",0,"30000","F",45,TRUE,TRUE
"50",4,"대형마트",0,"100000","F",45,FALSE,TRUE
"51",3,"슈퍼마켓",0,"5000","F",24,TRUE,TRUE
"52",1,"편의점",0,"10000","F",24,FALSE,TRUE
"53",1,"대형마트",1,"50000","F",24,TRUE,FALSE
"54",3,"대형마트",0,"100000","F",50,FALSE,FALSE
"55",4,"대형마트",1,"50000","M",31,FALSE,FALSE
"56",1,"온라인",0,"60000","M",24,TRUE,TRUE
"57",4,"편의점",1,"10000","F",20,TRUE,TRUE
"58",4,"온라인",0,"20000","F",20,TRUE,TRUE
"59",3,"슈퍼마켓",1,"80000","M",25,TRUE,FALSE
"60",4,"대형마트",1,"300000","M",28,FALSE,FALSE
"61",3,"슈퍼마켓",0,"10000","F",42,FALSE,FALSE
"62",5,"편의점",1,"3000","F",24,TRUE,TRUE
"63",5,"대형마트",1,"20000","F",24,TRUE,FALSE
"64",5,"온라인",0,"50000","F",24,TRUE,FALSE
"65",1,"편의점",0,"10000","F",30,TRUE,TRUE
"66",3,"대형마트",1,"100000","M",28,TRUE,TRUE
"67",3,"온라인",0,"30000","M",28,TRUE,TRUE
"68",3,"대형마트",1,"30000","F",32,TRUE,FALSE
"69",3,"슈퍼마켓",1,"40000","F",32,FALSE,TRUE
"70",3,"대형마트",1,"100000","F",31,FALSE,FALSE
"71",3,"슈퍼마켓",1,"30000","F",31,TRUE,TRUE
"72",2,"편의점",0,"10000","M",28,TRUE,TRUE
"73",2,"대형마트",1,"50000","M",28,TRUE,TRUE
"74",2,"온라인",0,"0","M",28,TRUE,TRUE
"75",2,"슈퍼마켓",1,"30000","M",28,TRUE,TRUE
"76",4,"대형마트",1,"150000","M",24,FALSE,FALSE
"77",4,"대형마트",0,"100000","M",30,FALSE,FALSE
"78",5,"편의점",0,"20000","F",24,FALSE,FALSE
"79",1,"편의점",0,"20000","M",20,FALSE,FALSE
"80",1,"대형마트",1,"100000","M",20,TRUE,TRUE
"81",1,"온라인",1,"70000","M",26,TRUE,TRUE
"82",2,"편의점",0,"20000","F",31,FALSE,FALSE
"83",2,"대형마트",0,"300000","F",31,FALSE,FALSE
"84",3,"편의점",1,"5500","F",20,FALSE,FALSE
"85",3,"슈퍼마켓",1,"8000","F",20,TRUE,TRUE
"86",3,"편의점",1,"0","F",21,FALSE,TRUE
"87",3,"대형마트",0,"0","F",21,TRUE,FALSE
"88",3,"온라인",0,"0","F",21,TRUE,TRUE
"89",4,"대형마트",0,"100000","F",24,TRUE,FALSE
"90",4,"대형마트",1,"120000","M",56,FALSE,FALSE
"91",4,"편의점",0,"7000","F",26,TRUE,TRUE
"92",1,"편의점",1,"5000","M",25,FALSE,FALSE
"93",2,"편의점",0,"20000","M",25,TRUE,TRUE
"94",2,"대형마트",1,"60000","M",25,TRUE,TRUE
"95",2,"온라인",0,"60000","M",25,TRUE,TRUE
"96",1,"대형마트",1,"20000","F",21,FALSE,FALSE
"97",2,"편의점",0,"10000","M",28,FALSE,TRUE
"98",2,"편의점",1,"4000","F",22,FALSE,TRUE
"99",1,"슈퍼마켓",1,"10000","M",27,TRUE,TRUE
"100",4,"대형마트",1,"50000","F",23,TRUE,TRUE
"101",5,"대형마트",0,"20000","M",26,FALSE,TRUE
